x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.18,2023-01-18 00:00:00,AB,2023,1,18,-8.1,,-8.8,,-7.4,,0.4,,,,,,,,,,,,0,,26.1,,96,,97,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.19,2023-01-19 00:00:00,AB,2023,1,19,-9.6,,-11.4,,-7.9,,0,,,,,,,,,,,,0,,27.6,,90,,96,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.20,2023-01-20 00:00:00,AB,2023,1,20,-7.6,,-12.1,,-3.1,,0,,,,,,,,,,,,0,,25.6,,70,,93,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.21,2023-01-21 00:00:00,AB,2023,1,21,-1.6,,-7.6,,4.5,,0,,,,,,,,25,,37,,0,,19.6,,71,,93,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.22,2023-01-22 00:00:00,AB,2023,1,22,-1.5,,-5.1,,2.1,,0.9,,,,,,,,31,,66,,0,,19.5,,75,,99,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.23,2023-01-23 00:00:00,AB,2023,1,23,-5,,-10.4,,0.4,,0.4,,,,,,,,31,,64,,0,,23,,81,,96,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.24,2023-01-24 00:00:00,AB,2023,1,24,-3.1,,-7.1,,0.9,,0,,,,,,,,30,,42,,0,,21.1,,74,,99,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.25,2023-01-25 00:00:00,AB,2023,1,25,-3.5,,-7.8,,0.7,,0.6,,,,,,,,,,,,0,,21.5,,76,,93,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.26,2023-01-26 00:00:00,AB,2023,1,26,1.6,,-2,,5.2,,0.4,,,,,,,,31,,86,,0,,16.4,,67,,96,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.27,2023-01-27 00:00:00,AB,2023,1,27,-9.8,,-17.6,,-2,,0.9,,,,,,,,1,,37,,0,,27.8,,68,,94,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.28,2023-01-28 00:00:00,AB,2023,1,28,-18.6,,-20,,-17.2,,0,,,,,,,,32,,67,,0,,36.6,,66,,85,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.29,2023-01-29 00:00:00,AB,2023,1,29,-21.9,,-25,,-18.7,,0,,,,,,,,33,,50,,0,,39.9,,67,,78,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.30,2023-01-30 00:00:00,AB,2023,1,30,-16.5,,-19.8,,-13.2,,0,,,,,,,,32,,50,,0,,34.5,,73,,85,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.1.31,2023-01-31 00:00:00,AB,2023,1,31,-16.3,,-20.6,,-11.9,,1.4,,,,,,,,,,,,0,,34.3,,76,,93,
-110.62083583333333,53.070835277777775,GILT EDGE NORTH AGCM,3012790,3012790.2023.2.1,2023-02-01 00:00:00,AB,2023,2,1,-20.1,,-24.9,,-15.4,,0.4,,,,,,,,32,,45,,0,,38.1,,68,,90,
